keys,fr
priceCalendarErrorButton,Ré-essayer
dealDetailsNotificationsMessage,Ne manque plus aucun deal\nsur %destination$s
dealDetailsNotificationsButtonEnable,Créez une alerte personnalisée
dealDetailsNotificationsButtonLater,Peut-être plus tard
dealDetailsMainOfferTitle,Meilleur deal
dealDetailsOfferButtonCheckAvailability,Valider la disponiblité
dealDetailsOfferButtonCheckAvailabilityDialogTitle,C'est pour bientôt !
dealDetailsOfferButtonCheckAvailabilityDialogMessage,"La réservation n’est pas disponible pour le moment, mais nous travaillons dur pour la rendre disponible très prochainement."
dealDetailsErrorLabel,Une erreur est survenue lors du chargement des données du deal.
dealDetailsErrorButton,Ré-essayer
dealDetailsAppBarTitle,%departureCity$s - %arrivalCity$s
dealDetailsAppBarTitleEmpty,Détails du deal
createAlertScreenTitle,Hey Mowgli 👋
createAlertScreenSubtitle,Alerte-moi des nouveaux deals  sur %departure$s - %arrival$s
createAlertItemDates,Dates de voyages
createAlertItemDatesEmptyValue,Toutes dates de voyage
createAlertItemStopOvers,Escales
createAlertItemStopOversEmptyValue,Indifférent
createAlertItemFlightDuration,Durée de vol
createAlertItemFlightDurationEmptyValue,Indifférent
createAlertItemBudget,Budget
createAlertItemBudgetEmptyValue,Indifférent
createAlertButtonCreate,Créer une alerte
calendarDay1,Lundi
calendarDay2,Mardi
calendarDay3,Mercredi
calendarDay4,Jeudi
calendarDay5,Vendredi
calendarDay6,Samedi
calendarDay7,Dimanche
dealAvailableScreenMain,Trop cooooool ! \nLe prix est encore dispo
dealAvailableScreenPricePerTraveler,Prix par voyageur
dealAvailableScreenBook,Réservez
dealAvailableScreenAlternatives,Les alternatives
dealAvailableScreenAlternativesDirectOne,Prenez un vol direct pour
dealAvailableScreenAlternativesDirectTwo, %price$d€ de plus
dealAvailableScreenAlternativesHoursOne,D’autres horaires disponibles pour\n
dealAvailableScreenAlternativesHoursTwo,%price$d€ de plus
dealNotAvailableScreenMain,Trop tard\nLe prix a évolué !
dealNotAvailableScreenDealInfosOne,Ce tarif observé il y a %duration$d %durationType$s n’est plus disponible.\nLes compagnies aériennes font varier leur tarifs en permanence
dealNotAvailableScreenDealInfosTwo,Mowgli va t’aider à être certain d’obtenir \nle meilleur deal en te notifiant 
dealNotAvailableScreenEnableNotifications,Activer les notifications
dealNotAvailableScreenBestOffer,Meilleure offre disponible
directAlternativesScreenMain,Les vols directs à partir de %price$d€
hoursAlternativesScreenMain,Les horaires à partir de %price$d€
tripDetailsScreenOutbound,Vol aller vers %city$s
tripDetailsScreenInbound,Vol retour vers %city$s
tripDetailsScreenStopOver,Ecale de %hours$dh%minutes$dmin
tripDetailsScreenContinue,Continuer
tripDetailsScreenOperatedBy,Opéré par %company$s
travelersCounterScreenTitle,Choix des voyageurs
travelersCounterScreenInfantAge, (2-12 ans)
travelersCounterScreenBabyAge, (0-2 ans)
travelersCounterScreenConfirm,Confirmer
addOptionsScreenTitle,Ajouter des options
addOptionsScreenAddLuggage,Ajouter des bagages
addOptionsScreenLuggagePerTraveler,Bagage(s) voyageur %travelerNb$d
addOptionsScreenLuggagePerTravelerSub,23kg en soute pour %bagagePrice$d€
addOptionsScreenTotal,Total :
addOptionsScreenSummary,%nbTravelers$d voyageur - %totalLuggages$d bagages
addOptionsScreenContinue,Continuer
priceDetailsScreenTitle,Les conditions du tarif
priceDetailsScreenCabinSummary,Vol en classe %cabinClass$s
priceDetailsScreenChoiceSummaryOne,Bon choix !
priceDetailsScreenChoiceSummaryTwo,ci-dessous les détails
priceDetailsScreenChoiceSummaryThree,concernant ta sélection
priceDetailsScreenSeat,Selection du siège
priceDetailsScreenSeatChoice,Choisir
priceDetailsScreenCabinLuggageSummary,Bagage cabine
priceDetailsScreenLuggageSummary,Bagage(s) en soute
priceDetailsScreenLuggageSummaryPrice,Bagage n°%luggageNb$d : %luggagePrice$d€
priceDetailsScreenModification,Modifications
priceDetailsScreenModificationPrice,"%modificationPriceInt$d,%modificationPriceDecimal$d€"
priceDetailsScreenCancelation,Annulations
priceDetailsScreenCancelationConditions,Sous conditions
priceDetailsScreenTip,Inclure un pourboire de 3€
priceDetailsScreenTipDescription,"Aide Mowgli avec cette gratification facultative, à trouver les meilleurs deals pour toi"
priceDetailsScreenTotal,Total :
priceDetailsScreenContinue,Continuer
chooseTravelersScreenTitle,Informations voyageurs
chooseTravelersScreenTravelerNumber,Voyageur %travelerNb$d -
chooseTravelersScreenTravelerType,%travelerType$s
tripCardShowDetails,Afficher les détails
luggagesNumberCount,x%luggagesNumber$d
travelerTypeAdult,Adulte
travelerTypeInfant,Enfant
travelerTypeBaby,Bébé
newTravelerScreenWarningOne,Les corrections de noms ne sont pas autorisées après la réservation.
newTravelerScreenWarningTwo,Vérifie bien que toutes les informations correspondent à celles des documents de voyage !
newTravelerScreenRequiredInfosTitle,Informations requises
newTravelerScreenLastName,Nom
newTravelerScreenFirstName,Prénom
newTravelerScreenSecondName,Deuxième prénom
newTravelerScreenBirthdate,Date de naissance
newTravelerScreenFirstGender,Sexe
newTravelerScreenNationality,Nationalité
newTravelerScreenPassportNumber,Numéro de passeport
newTravelerScreenExpirationDate,Date d'expiration
newTravelerScreenAdditionalInfosTitle,Informations complémentaires
newTravelerScreenNeedAssistance,Besoin d'une assistance
newTravelerScreenPhoneNumber,Numéro de téléphone
newTravelerScreenEmail,Email
newTravelerScreenEmailConfirmation,Confirmation email
newTravelerScreenValidate,Valider
newTravelerScreenErrorName,Ecrivez votre nom sans accent et sans tiret
newTravelerScreenErrorPassportNumber,Ecrivez le numéro tel qu’il apparait sur votre passeport
newTravelerScreenErrorWrongEmail,L’adresse e-mail renseignée n’est pas correcte
newTravelerScreenErrorDifferentEmails,les adresses e-mails renseignées ne correspondent pas
travelersSummaryScreenSelectPayment,Selectionner un moyen de paiement
travelersSummaryScreenAdult,Adulte(s)
travelersSummaryScreenInfant,Enfants(s)
travelersSummaryScreenBaby,Bébé(s)
selectPaymentScreenAddCard,Ajouter une carte
selectPaymentScreenNameType,%travelerName$s : 1 %travelerType$s
selectPaymentScreenCardTypeNumber,%cardType$s N° %hiddenCardNumber$s
selectPaymentScreenBasePrice,Tarif de base
selectPaymentScreenTaxes,Taxes et frais
selectPaymentScreenTotal,Total :
selectPaymentScreenOneWaySummary,%nbOneWay$dx aller
selectPaymentScreenRoundTripSummary,%nbRoundTrip$dx aller-retour
selectPaymentScreenNonRefundable,non-remboursable
selectPaymentScreenRefundable,remboursable
selectPaymentScreenPay,Payer
selectPaymentScreenGooglePay,Google Pay
selectPaymentScreenApplePay,Apple Pay
creditCardTypeVisa,Visa
creditCardTypeVisaElectron,Visa Electron
creditCardTypeMastercard,Mastercard
creditCardTypeAmericanExpress,American Express
newPaymentScreenCardType,Type de carte
newPaymentScreenCardNumber,Numéro de la carte bancaire
newPaymentScreenCardNumberHintText,XXXX XXXX XXXX XXXX
newPaymentScreenCardHolderName,Titulaire de la carte
newPaymentScreenCardExpirationDate,Date d’expiration
newPaymentScreenCardExpirationDateHintText,XX/XX
newPaymentScreenCardSecurityCode,Code de sécurité
newPaymentScreenCardSecurityCodeHintText,XXX
